Accession_no,sequence_id,Consensus_sequence
ERS010455,ERR012494_1.fastq, consensus_sequence30
ERS010435,ERR012519_1.fastq,consensus_sequence33
ERS010454,ERR012425_1.fastq,consensus_sequence24
ERS010464,ERR012424_1.fastq,consensus_sequence23
ERS016368,ERR029095_1.fastq,consensus_sequence6
ERS010641,ERR012481_1.fastq, consensus_sequence29
ERS016369,ERR029096_1.fastq,consensus_sequence7
ERS017460,ERR205935_1.fastq, consensus_sequence9
ERS017455,ERR029411_1.fastq, consensus_sequence8
ERS010401 ,ERR012277_1.fastq, consensus_sequence16
ERS010402,ERR012228_1.fastq,consensus_sequence11
ERS010403,ERR012287_1.fastq, consensus_sequence17
ERS010407 ,ERR012509_1.fastq, consensus_sequence31
ERS010408,ERR012226_1.fastq,consensus_sequence1
ERS010409 ,ERR012353_1.fastq, consensus_sequence21
ERS010410,ERR012328_1.fastq,consensus_sequence2
ERS010451,ERR012409_1.fastq, consensus_sequence22
ERS010638,ERR012428_1.fastq, consensus_sequence25
ERS016370,ERR029083_1.fastq, consensus_sequence5
ERS010411 ,ERR012274_1.fastq, consensus_sequence15
ERS010412,ERR012493_1.fastq, consensus_sequence3
ERS010457,ERR012469_1.fastq, consensus_sequence28
ERS010413 ,ERR012260_1.fastq, consensus_sequence13
ERS010414,ERR012311_1.fastq,consensus_sequence18
ERS010461,ERR012269_1.fastq, consensus_sequence14
ERS010452,ERR012227_1.fastq, consensus_sequence10
ERS010462,ERR012462_1.fastq,consensus_sequence27
ERS010644,ERR012232_1.fastq, consensus_sequence12
ERS010416 ,ERR012330_1.fastq, consensus_sequence20
ERS010415,ERR012446_1.fastq, consensus_sequence26
ERS010453,ERR012317_1.fastq,consensus_sequence19
ERS010640,ERR012518_1.fastq, consensus_sequence32
ERS010438,ERR012762_1.fastq, consensus_sequence4